reference,section_id,section_type
"#fiennes.great_journey","sample1","sample"
"#locke.education","sample1","sample"
"#pepys.diary_pepys","sample1","sample"
"#pepys.diary_pepys","sample2","sample"
"#boyle.electricity","sample1","sample"
"#fryer.account_east-india","sample1","sample"
"#fryer.account_east-india","sample2","sample"
"#walton.compleat_angler","sample1","sample"
"#walton.compleat_angler","sample2","sample"
"#behn.oroonoko","sample1","sample"
"#behn.oroonoko","sample2","sample"
"#fox.journal_fox","sample1","sample"
"#fox.journal_fox","sample2","sample"
"#farquhar.beaux_stratagem","sample1","sample"
"#farquhar.beaux_stratagem","sample2","sample"
"#burnetcha.history_charles_ii","sample1","sample"
"#burnetcha.history_charles_ii","sample2","sample"
"#milton.history_of_britain","sample1","sample"
"#milton.history_of_britain","sample2","sample"
"#lisle.trial_lisle","sample1","sample"
"#lisle.trial_lisle","sample2","sample"
"#evelyn.diary_evelyn","sample1","sample"
"#evelyn.diary_evelyn","sample2","sample"
"#hoole.teaching_school","sample1","sample"
"#hoole.teaching_school","sample2","sample"
"#hoole.teaching_school","sample3","sample"
"#hooke.micrographia","sample1","sample"
"#hooke.micrographia","sample2","sample"
"#hooke.micrographia","sample3","sample"
"#langf.fruit_trees","sample1","sample"
"#langf.fruit_trees","sample2","sample"
"#burnetroc.biogr_rochester","sample1","sample"
"#burnetroc.biogr_rochester","sample2","sample"
"#jetaylor.marriage_ring","sample1","sample"
"#penny.penny_merriments","sample1","sample"
"#penny.penny_merriments","sample2","sample"
"#penny.penny_merriments","sample3","sample"
"#penny.penny_merriments","sample4","sample"
"#tillots.scoffing_at_religion","sample1","sample"
"#tillots.trial_of_spirits","sample2","subdivision.sample"
"#tillots.trial_of_spirits","sample3","subdivision.sample"
"#vanbr.relapse","sample1","sample"
"#vanbr.relapse","sample2","sample"
"#oates.trial_oates","sample1","sample"
"#oates.trial_oates","sample2","sample"
"#boethpr.boeth3_preston","sample1","sample"
"#boethpr.boeth3_preston","sample2","sample"
"#boethpr.boeth3_preston","sample3","sample"
"#boethpr.boeth3_preston","sample4","sample"
"#boethpr.boeth3_preston","sample5","sample"
"#stat7.statutes_vii","sample1","sample"
"#stat7.statutes_vii","sample2","sample"
"#stat7.statutes_vii","sample3","sample"
"#stat7.statutes_vii","sample4","sample"
"#stat7.statutes_vii","sample5","sample"
