text_id,title,work_id,reference
"GREAT JOURNEY","My Great Journey to Newcastle and to Cornwall","fiennes","#fiennes.great_journey"
"EDUCATION","Directions Concerning Education","locke","#locke.education"
"DIARY PEPYS","Diary of Samuel Pepys","pepys","#pepys.diary_pepys"
"ELECTRICITY","Electricity & Magnetism","boyle","#boyle.electricity"
"ACCOUNT EAST-INDIA","A New Account of East India and Persia","fryer","#fryer.account_east-india"
"COMPLEAT ANGLER","The Compleat Angler","walton","#walton.compleat_angler"
"OROONOKO","Oroonoko","behn","#behn.oroonoko"
"JOURNAL FOX","Journal of George Fox","fox","#fox.journal_fox"
"BEAUX STRATAGEM","The Beaux Stratagem","farquhar","#farquhar.beaux_stratagem"
"HISTORY CHARLES II","The Reign of Charles the Second","burnetcha","#burnetcha.history_charles_ii"
"HISTORY OF BRITAIN","The History of Britain","milton","#milton.history_of_britain"
"TRIAL LISLE","The Trial of Lady Alice Lisle","lisle","#lisle.trial_lisle"
"DIARY EVELYN","Diary of John Evelyn","evelyn","#evelyn.diary_evelyn"
"TEACHING SCHOOL","A New Discovery of the Old Art of Teaching Schoole","hoole","#hoole.teaching_school"
"MICROGRAPHIA","Micrographia","hooke","#hooke.micrographia"
"FRUIT TREES","Plain and Full Instructions to Raise All Sorts of Fruit-Trees That Prosper in England","langf","#langf.fruit_trees"
"BIOGR ROCHESTER","Biography of the Earl of Rochester","burnetroc","#burnetroc.biogr_rochester"
"MARRIAGE RING","The Marriage Ring","jetaylor","#jetaylor.marriage_ring"
"PENNY MERRIMENTS","Penny Merriments","penny","#penny.penny_merriments"
"SCOFFING AT RELIGION","Sermon on ""The Folly of Scoffing at Religion""","tillots","#tillots.scoffing_at_religion"
"TRIAL OF SPIRITS","Sermon on ""Of the Tryall of the Spirits""","tillots","#tillots.trial_of_spirits"
"RELAPSE","The Relapse","vanbr","#vanbr.relapse"
"TRIAL OATES","The Trial of Titus Oates","oates","#oates.trial_oates"
"BOETH3 PRESTON","Boethius","boethpr","#boethpr.boeth3_preston"
"STATUTES VII","Statutes (VII)","stat7","#stat7.statutes_vii"
